vendor_id,pickup_date,day_num,day_name,avg_distance,avg_fare,avg_tip,sum_duration_minutes,avg_duration_minutes,avg_speed_kmh,sum_passenger,avg_passenger,total_trip,total_revenue,min_transaction,max_transaction,std_transaction,is_weekend
1,2016-05-02,1,Monday,4.33,11.94,1.67,208764.73,13.0,18.63,19429.0,1.21,16055,241379.86,3.8,70.34,10.56,0
1,2016-05-03,2,Tuesday,4.05,12.02,1.69,253035.28,14.17,16.57,21391.0,1.2,17863,269098.94,3.3,70.0,9.97,0
2,2016-05-03,2,Tuesday,4.14,12.11,1.73,291408.68,14.24,16.97,40912.0,2.0,20469,311279.01,3.3,70.61,10.13,0
2,2016-05-07,6,Saturday,4.32,11.65,1.51,278002.65,12.63,19.64,44612.0,2.03,22013,315162.98,3.8,70.01,9.6,1
1,2016-05-07,6,Saturday,4.19,11.55,1.47,253584.38,12.61,19.01,27369.0,1.36,20114,285073.74,3.8,71.79,9.21,1
1,2016-05-13,5,Friday,4.09,12.44,1.73,266327.65,15.0,16.29,22182.0,1.25,17760,275842.51,3.3,70.55,10.23,0
2,2016-05-13,5,Friday,4.24,12.62,1.76,297128.0,15.13,16.9,39508.0,2.01,19643,309651.96,3.3,70.34,10.4,0
1,2016-05-29,7,Sunday,4.69,11.97,1.33,156899.18,11.97,21.83,18708.0,1.43,13110,189938.03,3.3,70.34,10.02,1
2,2016-05-29,7,Sunday,4.85,12.09,1.37,183638.25,12.03,22.54,31033.0,2.03,15264,223778.21,3.8,70.34,10.53,1
2,2016-05-31,2,Tuesday,4.42,12.25,1.67,236257.18,13.76,18.27,34063.0,1.98,17166,263619.16,3.8,70.01,10.92,0
1,2016-05-31,2,Tuesday,4.22,12.0,1.64,202604.02,13.51,17.66,18294.0,1.22,14999,225575.65,3.8,70.34,10.51,0
2,2016-06-02,4,Thursday,4.23,12.41,1.73,291907.85,14.74,16.81,39530.0,2.0,19806,307565.1,3.3,71.81,10.23,0
1,2016-06-02,4,Thursday,4.14,12.37,1.74,255891.9,14.72,16.3,21190.0,1.22,17379,269412.36,3.3,72.34,10.22,0
2,2016-06-06,1,Monday,4.64,12.61,1.76,250405.43,13.98,18.94,35921.0,2.01,17915,284262.39,3.8,71.81,11.34,0
1,2016-06-06,1,Monday,4.45,12.34,1.72,218109.75,13.67,18.47,19579.0,1.23,15951,247333.61,3.8,70.59,10.89,0
1,2016-06-10,5,Friday,4.15,12.13,1.65,254366.87,14.11,17.04,22734.0,1.26,18025,273170.84,3.3,71.79,10.13,0
2,2016-06-10,5,Friday,4.32,12.31,1.67,286647.12,14.28,17.53,40075.0,2.0,20072,309132.61,3.8,71.21,10.39,0
2,2016-06-11,6,Saturday,4.41,11.91,1.5,257405.87,12.89,19.65,39935.0,2.0,19972,291453.8,3.8,70.01,9.92,1
1,2016-06-11,6,Saturday,4.29,11.83,1.47,226264.58,12.87,19.17,24332.0,1.38,17584,254692.92,3.3,70.3,9.49,1
2,2016-06-16,4,Thursday,4.21,12.35,1.77,292260.83,14.62,16.95,39959.0,2.0,19984,310179.85,3.8,70.61,10.32,0
1,2016-06-16,4,Thursday,4.04,12.11,1.72,252539.47,14.31,16.57,21452.0,1.22,17647,267955.46,3.3,70.59,9.96,0
2,2016-06-17,5,Friday,4.41,12.58,1.72,280908.55,14.57,17.71,39090.0,2.03,19284,303089.56,3.8,71.96,10.74,0
1,2016-06-17,5,Friday,4.25,12.33,1.68,251211.2,14.35,17.27,22276.0,1.27,17511,269544.28,3.8,70.34,10.33,0
1,2016-06-18,6,Saturday,4.33,11.92,1.47,218027.98,13.05,19.19,22840.0,1.37,16708,243358.84,3.8,70.34,9.52,1
